project,analyzer,P,R,F1,SIZE
spoon,depscan,13.01,100,23.03,54,
spoon,jbom,23.2,53.7,32.4,54,
spoon,openrewrite,95.83,42.59,58.97,54,
steady,build-info-go,95.98,77.85,85.97,307,
steady,cdxgen,98.68,97.39,98.03,307,
steady,cyclonedx-maven-plugin,0,0,0,0,
steady,depscan,95.94,100,97.93,307,
steady,jbom,14.41,21.82,17.36,307,
steady,openrewrite,100,1.63,3.21,307,
subzero,build-info-go,0,0,0,0,
subzero,cdxgen,0,0,0,0,
subzero,cyclonedx-maven-plugin,0,0,0,0,
subzero,depscan,0,0,0,0,
subzero,jbom,0,0,0,0,
subzero,openrewrite,0,0,0,0,
tika,build-info-go,0,0,0,620,
tika,cdxgen,92.26,100,95.98,620,
tika,cyclonedx-maven-plugin,91.52,90.48,91,620,
tika,depscan,0,0,0,0,
tika,jbom,7.56,10.81,8.9,620,
tika,openrewrite,0,0,0,0,
undertow,build-info-go,97.67,100,98.82,126,
undertow,cdxgen,97.67,100,98.82,126,
undertow,cyclonedx-maven-plugin,93.33,22.22,35.9,126,
undertow,depscan,97.67,100,98.82,126,
undertow,jbom,10.87,7.94,9.17,126,
undertow,openrewrite,0,0,0,126,
webcam-capture,build-info-go,0,0,0,50,
webcam-capture,cdxgen,24.04,100,38.76,50,
webcam-capture,cyclonedx-maven-plugin,40.38,84,54.55,50,
webcam-capture,depscan,24.04,100,38.76,50,
webcam-capture,jbom,26.67,16,20,50,
webcam-capture,openrewrite,0,0,0,50,
