analyzer,P,R,F1
cdxgen,83.55287111376582,95.2676787164448,86.16588452923
depscan,82.8359651087444,94.8478835978836,85.27945810736664
jbom,27.145345050573955,21.293731903469716,20.377873995115767
cyclonedx-maven-plugin,92.28131261905597,67.59194267268964,74.58586449412985
openrewrite,95.99519569945136,39.39929941772827,46.97446555010074
build-info-go,94.06558505012784,86.00684004105149,88.73901280922131
