analyzer,P,R,F1
cdxgen,79.6335657145219,88.40003394329017,81.84938508532969
depscan,77.24954004498211,88.01293356848912,79.46409348105792
jbom,24.531772090043198,19.221706430362264,18.453455104051255
cyclonedx-maven-plugin,78.64897077602092,55.8979615193109,62.103202028455286
openrewrite,53.33066427747298,21.888499676515707,26.09692530561152
build-info-go,59.36013997802579,54.67072002432681,56.24621238367799
