analyzer,P,R,F1
cdxgen,85.51799398697666,95.28337151953478,87.96291116217238
ds,88.5525845355948,100.0,91.60732843991723
jbom,29.613103691535226,23.22952571287605,22.230407994671744
cdx-mp,92.28131261905597,67.59194267268964,74.58586449412985
or,95.99519569945136,39.39929941772827,46.97446555010074
big,94.06558505012784,86.00684004105149,88.73901280922131
