analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdx,58.41329966329966,26.411958374138177,32.968927669134466,79.56649189267627,60.91472016664579,65.89306665270159
ds,75.78220390720391,31.431991784764914,40.622471327082145,81.19610043107446,59.12721623403132,65.1176397659067
jbom,30.773088479263365,38.18773996707381,32.16003831123954,4.81590285938112,1.9205335737501383,2.5483241317025387
cdx-mp,75.78220390720391,31.431991784764914,40.622471327082145,80.82164685924165,59.79115395130841,65.45681240006807
or,94.53781512605042,41.4146814898691,50.136654589268076,70.60334598955862,35.950676763329945,42.342668181069214
big,98.69904401154402,61.41755249754532,71.3998109699352,93.56623200345132,78.97989213427985,82.964546938674
