analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdxgen,58.87626262626262,27.858218112065604,34.266017778823745,81.00370802569608,64.62140931745931,67.85617242710434
depscan,76.24516687016687,33.19573072699157,42.290884326380386,82.56773636591174,62.744861179085206,66.99655342394242
jbom,30.76459663143728,39.923088601533074,33.10565139944921,4.9245985115550335,1.9348540848019768,2.574355386138773
cyclonedx-maven-plugin,76.24516687016687,33.19573072699157,42.290884326380386,82.26820871793844,63.4853495653652,67.4138169433322
openrewrite,94.95798319327731,42.991675722901014,51.20633348130099,71.93224964404367,37.02083458825259,43.576039421302596
build-info-go,99.50396825396825,64.68871663357811,73.8672805085306,95.05096754921227,80.12425197152659,84.30811688459414
